title,cpf,name,hasVoted
606605162846,33413296075,Vitor Nogueira,0
840279052143,95914672914,Ana Lívia Moura,0
554338267347,19665669668,Benjamin Almeida,0
321703874452,85383077739,Rafaela da Rosa,0
604539768880,2089307562,Luiz Fernando da Cunha,0
13995937592,64153598043,Vitor Hugo Nunes,0
648371276693,12669102458,Benício Barros,0
753132504781,44158210433,Isadora Cardoso,0
851342916086,10106364884,Alexandre Duarte,0
481230412213,39356476263,Mariana Rocha,0
984368293512,25832288403,Vitor Gabriel da Cruz,0
634480231569,67202794814,Valentina Fogaça,0
26387053957,67218886552,Isabel Lopes,0
301153711458,88842567228,Lucas dos Santos,0
986114386020,65176989738,Murilo da Luz,0
381260265078,71672637210,Marcos Vinicius Moura,0
544148834873,69167955728,Guilherme Novaes,0
916825065766,13665474418,Luiz Felipe da Rocha,0
113178554065,40724559354,Giovanna Castro,0
775521174247,23141340007,Juan da Rocha,0
414005881741,57412748214,Julia Barros,0
360314817487,5462438844,Nina Rezende,0
92872717419,30023181477,Sabrina Oliveira,0
645181635346,26349587343,Laís Alves,0
122415875393,34461212731,Davi Luiz Carvalho,0
467650265503,23132188938,Fernanda Azevedo,0
309888762825,6628556972,Pietra da Mota,0
942291288388,96261529238,Milena Souza,0
361418858611,76671857365,Ana Beatriz Moura,0
436635232966,26532855572,Calebe Novaes,0
115241261254,21464847241,Heloísa Nunes,0
444761622688,92373343693,Bruno Pires,0
378527420616,47526830805,Noah da Costa,0
235151142125,57812243776,Theo Porto,0
168351426590,43489331336,Ana Julia Costela,0
327646864293,10838563580,Luiz Otávio da Costa,0
727977243646,48712434857,Luiz Gustavo Barbosa,0
449828973122,78829570853,Pedro da Cunha,0
413855855583,99355564436,Enrico Rodrigues,0
438897541903,95994099614,Milena Freitas,0
527765431854,78088924834,Davi Luiz Silva,0
90246394917,95603519682,Isis Barbosa,0
187262374074,35447715782,Ana Júlia Viana,0
383033775327,33798653199,Luiza Araújo,0
357687956254,24863924736,Pedro Cardoso,0
817488315042,50484961925,Benício Carvalho,0
712516070517,66367138323,Lucca Costela,0
160153774793,93862218738,Carlos Eduardo Pinto,0
640707123056,30392621188,Benjamin Alves,0
784623048198,45174198715,Luna Pires,0
181592075157,63616338375,Catarina Pires,0
380111964621,34357568521,João Pedro Rocha,0
270087755947,96059882450,Beatriz Nunes,0
